Item,Description,Price,Category,Menu
Bruschetta,"Toasted ciabatta, marinated chopped heirloom tomatoes, basil, mixed olives (vegan). 430 cal.",12.0,Antipasto,Lunch
Caprese,"Gluten-free. Sliced heirloom tomatoes, fresh mozzarella, basil, mixed olives. 580 cal.",16.0,Insalate,Lunch
Bietole,"Gluten-free. Organic beets, wild arugula, walnuts, goat cheese; lemon-olive oil. 400 cal.",14.0,Insalate,Lunch
Cesarina,"Romaine lettuce, grana padano, hardboiled egg, focaccia croutons; caesar dressing. 310 cal.",15.0,Insalate,Lunch
Del Fornaio,"Mixed greens, focaccia croutons, shaved grana padano; house vinaigrette. 300 cal.",13.0,Insalate,Lunch
Regina,"Wild arugula, couscous, avocado, tomatoes, red onions, capers, raisins lemon extra-virgin olive oil (vegan).",15.0,Insalate,Lunch
Cristina,"Prosciutto, fresh mozzarella, grana padano, mushrooms, wild arugula, white truffle oil. 1040 cal.",22.0,Pizzas,Lunch
Fradiavola,"Sausage, mushrooms, roasted bell peppers, red onions, spicy pepperoncino oil. 1140 cal.",21.0,Pizzas,Lunch
Capricciosa,"Ham, artichokes, mushrooms, kalamata olives, mozzarella. 990 cal.",21.0,Pizzas,Lunch
Burrata e Pesto,"Burrata, heirloom tomatoes, kalamata olives, tomato sauce, and pesto. 1010 cal.",20.0,Pizzas,Lunch
Margherita,"Mozzarella, tomato, basil. 860 cal.",19.0,Pizzas,Lunch
Pennoni,"Tube pasta, bacon, vodka-cream-tomato sauce, grana padano. 700 cal.",20.0,Pasta Secca,Lunch
Mare Chiaro,"Linguine, prawns, scallops, clams, mussels, filetto di pomodoro sauce. 890 cal.",27.0,Pasta Secca,Lunch
Conchiglie,"Shell pasta, chicken breast, broccoli, sun-dried tomatoes, pecorino, garlic. 950 cal.",21.0,Pasta Secca,Lunch
Capellini,"Angel hair pasta, vine-ripened tomatoes, garlic, marinara, fresh basil (vegan). 690 cal.",19.0,Pasta Secca,Lunch
Tagliatelle Bolognese,"Egg pasta ribbons from Emilia-Romagan, meat ragu, grana padano. 780 Cal.",21.0,Pasta Secca,Lunch
Ravioli Lucana,"Organic spinach ravioli, Italian sausage, spicy tomato sauce, pecorino pepato. 880 cal.",22.0,Pasta e Gnocchi,Lunch
Lasagna,"Pasta sheets, meat ragu, porcini mushrooms, grana padano, béchamel. 850 cal.",23.0,Pasta e Gnocchi,Lunch
Gnocchi Bolognese,Traditional meat ragu. 680 Cal.,21.0,Pasta e Gnocchi,Lunch
Gnocchi Sorrentina,"Marinara sauce, mozzarella, and fresh basil. 1100 cal.",20.0,Pasta e Gnocchi,Lunch
Gnocchi Pesto,Housemade pesto sauce. 700 cal.,20.0,Pasta e Gnocchi,Lunch
Pollo al Peperoncino,"Gluten-free. Chicken breast, spicy peperoncino sauce, tuscan salad. 670 cal.",23.0,Piatti Unici,Lunch
Piadina con Pollo,"Chicken breast sandwich on Italian flatbread, stacchino, mushrooms, arugula, onions, tomato, caesar dressing, French fries. 1590 cal.",17.0,Piatti Unici,Lunch
Salmone con Spinaci,"Gluten-free. Salmon, organic baby spinach, red onions, mushrooms, walnuts, red wine vinaigrette. 610 cal.",24.0,Piatti Unici,Lunch
Insalata di Pollo Dal Girarrosto,"Mixed greens, rotisserie chicken, applewood-smoked bacon, grana padano, heirloom tomatoes, croutons, house vinaigrette. 650 cal.",20.0,Piatti Unici,Lunch
